,tweetid,user_screen_name,user_reported_location,user_profile_description,follower_count,following_count,follower-to-following_ratio,account_creation_date,year_of_account_creation,month_of_account_creation,tweet_time,tweet_year,tweet_month,tweet_day,content,links,upper,average_num_of_words,bot_or_not
12,787953316164620288,8d810be2947a3f4ef50884948725efd24a3f88d0e0282e361b5d1283bc78610e,"New York, USA","Join us on November 19 to honor the memory of Jamar Clark outside the Adam Clayton Powell Jr. State Office Building. Bring signs, candles and flowers with you.",1295,4686,0.27635510029876226,2016-07-06 00:00:00,2016,7,2016-10-17 09:48:00,2016,10,17,@BDCNewYork #StopPoliceBrutality! Don't remain silent and join our effort to stop #violence. Event page: https://t.co/F0eE8ClllE https://t.co/mDDkIKK26x,2,0,8.5625,1
13,618019575678894080,462022323c7782684e32785dde1e9c880a422868e00ab4a21a88b4f7d85131f7,"New York, USA",Exercise to Burn Fat.,185,3,61.66666666666666,2015-06-25 00:00:00,2015,6,2015-07-06 11:32:00,2015,7,6,http://t.co/nlKXPH397P Easy Way to Lose Weight.qZCvS @RouyaShehadeh @crookedfiction @ConstancyRotni @GlamRabbits @authentic24 @EugeniaMcnutt,0,0,10.75,1
14,574735580233273344,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",40762,14404,2.829908358789225,2014-08-15 00:00:00,2014,8,2015-03-09 00:56:00,2015,3,9,NHL Capsules  #hockey,0,1,6.0,1
15,540138455129284608,AmandaVGreen,United States,You have to go through the worst to arrive at your best,7067,5350,1.3209345794392524,2014-06-17 00:00:00,2014,6,2014-12-03 13:40:00,2014,12,3,thinkin' about lois lane #alone,0,0,5.4,1
16,551466228821147648,d3246353942acfd9cde0c77e31513eeb03090a9b6fefae462b0260b1dd357ec7,United States,Missing,71,29,2.4482758620689653,2014-05-30 00:00:00,2014,5,2015-01-03 19:52:00,2015,1,3,OMG Ukranian government doesn’t care bout rising nuclear danger. Does anyone care? #FukushimaAgain http://t.co/BNoyJhI8TH,0,1,7.7142857142857135,1
17,603689053653897216,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",40762,14404,2.829908358789225,2014-08-15 00:00:00,2014,8,2015-05-27 22:27:00,2015,5,27,#news D.C. Council Approves $13B Budget for 2016,0,2,5.125,1
18,831555404559687680,ChicagoDailyNew,"Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",23595,13665,1.7266739846322725,2014-05-14 00:00:00,2014,5,2017-02-14 17:27:00,2017,2,14,Did Trump's administration throw Michael Flynn under the bus? https://t.co/VmCw5pgyeM https://t.co/0oVsy7U9d8,2,0,9.0,1
19,668508157275062272,TodayBostonMA,"Boston, USA","Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",18560,7276,2.5508521165475537,2014-06-08 00:00:00,2014,6,2015-11-22 19:15:00,2015,11,22,Epic oil glut sparks super tanker 'traffic jams' at sea  #money,0,0,4.727272727272728,1
20,533316909123391489,809577d4d29b6569186d7ddae18cd0859d65ff349af0815a08b24cbb552156ce,New-York,Lucky bastard,529,733,0.7216916780354706,2014-05-04 00:00:00,2014,5,2014-11-14 17:53:00,2014,11,14,Immigration plan is a load of bull #obamavscongress #Gruber,0,0,5.666666666666668,1
21,677160991600185344,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",35988,11010,3.2686648501362403,2014-05-05 00:00:00,2014,5,2015-12-16 16:18:00,2015,12,16,Robert Durst won't sign New Orleans plea deal this year  #news,0,0,4.636363636363637,1
22,619575755329044480,60f0b63e612aa72961a991ed83ad3318ccaa22f9c343ea79bb199e364cf75867,"New York, USA",http://t.co/Z2QpDqsbqr  provides wonderful apps to help workout.,486,5,97.2,2015-06-22 00:00:00,2015,6,2015-07-10 18:35:00,2015,7,10,http://t.co/CKOQbVp5y9 Oh now you wanna workout? Smh. @mectucha @ninacanal5 @CatharineRees @PrinceRussell_ @jordishipman @LizaChanel22,0,0,9.384615384615383,1
23,497856031540903936,9f5890f923067deae9e0c9a1d794048dcfc3d09add576f12d7fcc8c3fd751858,Washington D.C,Missing,79,71,1.1126760563380282,2014-04-28 00:00:00,2014,4,2014-08-08 21:25:00,2014,8,8,#Boston looks fantastic on photos,0,0,5.8,1
24,885925971093835778,Politweecs,United States,Tweets and politics,36094,20288,1.7790812302839116,2014-05-29 00:00:00,2014,5,2017-07-14 18:16:00,2017,7,14,2 charged in case of nude images of congressional delegate https://t.co/hbbPim9NLW,1,0,6.545454545454546,1
25,880973885709144064,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,72121,42080,1.7139020912547531,2015-11-25 00:00:00,2015,11,2017-07-01 02:18:00,2017,7,1,"Sarah Sanders: ""Networks spent 1 min on tax reform, 353 minutes attacking the President.""  Go Sarah! Can't argue with facts! https://t.co/uXxJEtW3pX",1,0,6.047619047619048,1
26,932416101593448448,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,2748,265,10.369811320754716,2016-06-15 00:00:00,2016,6,2017-11-20 01:11:00,2017,11,20,We spend the day working hard and achieving shit.  You LibTards go out protesting against that while collecting welfare fraud. https://t.co/FE9K0I7NsV,1,0,6.142857142857142,1
27,603560173974659073,ChicagoDailyNew,"Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",23595,13665,1.7266739846322725,2014-05-14 00:00:00,2014,5,2015-05-27 13:55:00,2015,5,27,#breaking Grandmother shot while sitting in home: 'I held her ... trying to keep her awake',0,1,4.75,1
28,714105006530625537,c863f6f0e2519b1a5b8b00e4f056fd0eab09a62bcf8be2b5e7eaafa42d89e535,United States,"Christian, Dad, Husband, Conservative. Trolls muted #tcot #PJNET",1735,1768,0.9813348416289592,2013-08-06 00:00:00,2013,8,2016-03-27 15:01:00,2016,3,27,Exposure to this SON will definitely prevent burning!   #WakeUpAmerica  #RenewUS  #PJNET  #CCOT  https://t.co/hdUU7hlIaM,1,3,7.846153846153848,1
29,847093557039190016,TodayBostonMA,"Boston, USA","Boston's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",18560,7276,2.5508521165475537,2014-06-08 00:00:00,2014,6,2017-03-29 14:30:00,2017,3,29,Bristol Sheriff Hodgson blasts Brockton rep for warning of immigrant raid https://t.co/MjoWskRAZZ https://t.co/Fkp0OfjNNT,2,0,8.384615384615385,1
30,743374681223368704,LoraGreeen,New - York,Be the change that you wish to see in the world,7446,7377,1.0093533956893046,2014-05-28 00:00:00,2014,5,2016-06-16 09:28:00,2016,6,16,Livin On Au Pair #DadSongs @midnight,0,0,5.166666666666667,1
31,648483456834375680,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",40762,14404,2.829908358789225,2014-08-15 00:00:00,2014,8,2015-09-28 13:04:00,2015,9,28,"Nexstar offers about $1.9B in cash, stock for Media General  #business #news",0,1,5.333333333333333,1
32,610535401321664512,cc696b8833483f783db366ea3a7e36a45d7aa49fe4e60d329308b54abb056bdb,"Washington, DC",Discussion on Free Talk Club,88,0,inf,2015-06-13 00:00:00,2015,6,2015-06-15 19:52:00,2015,6,15,Made it home in this storm. Thank you Jesus. Thank you Obama ?? @ElleWoods_1267 @Gaga_In_Fla @tompainejr12 @WolfFett @jasonagastrich,0,0,6.388888888888888,1
33,816404104914358277,ChicagoDailyNew,"Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",23595,13665,1.7266739846322725,2014-05-14 00:00:00,2014,5,2017-01-03 22:01:00,2017,1,3,Preckwinkle names fourth chief of staff in 16 months https://t.co/5tTg1qMZaK https://t.co/7fc7I8JZTW,2,0,8.181818181818182,1
34,506228953183682561,a00fc68f1538cf9d8784b1104c4fee6f7d5fa8d5c00004446d90fa9ba773a8dc,New York City,Missing,54,78,0.6923076923076923,2014-05-02 00:00:00,2014,5,2014-08-31 23:56:00,2014,8,31,"Old, but I'm not that old #USA #imho #RT",0,2,3.555555555555556,1
35,687734725507563520,OnlineCleveland,"City of Cleveland, USA","Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements",19351,8207,2.357865236992811,2014-08-28 00:00:00,2014,8,2016-01-14 20:35:00,2016,1,14,Cleveland Browns' Hue Jackson has respect of peers: New Cleveland Browns head coach Hue Jac... https://t.co/O2TH9JLLD7 #Cleveland #sports,1,0,6.666666666666668,1
36,578004990595215361,OnlineCleveland,"City of Cleveland, USA","Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements",19351,8207,2.357865236992811,2014-08-28 00:00:00,2014,8,2015-03-18 01:28:00,2015,3,18,#local LIVE SKYCAM | Northern lights possible,0,2,5.571428571428571,1
37,590273556388315136,TodayNYCity,"New York, NY","New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM",66980,10500,6.379047619047619,2014-08-27 00:00:00,2014,8,2015-04-20 21:59:00,2015,4,20,Bobbi Kristina remains on life support despite dad's claim  #showbiz,0,0,5.8,1
38,758033118141952000,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,72121,42080,1.7139020912547531,2015-11-25 00:00:00,2015,11,2016-07-26 20:15:00,2016,7,26,"Why is Lyin' Hillary Clinton exempt from the law? A completely rigged system, we will change it! #DNCConvention https://t.co/QEVffXh4W4",1,1,6.157894736842105,1
39,609867608368680960,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",32347,21336,1.5160761154855642,2014-12-09 00:00:00,2014,12,2015-06-13 23:39:00,2015,6,13,H. Clinton says she would support a constitutional amendment to overturn Supreme Court decision on campaign funding http://t.co/IKRunDaveM,0,1,6.722222222222222,1
40,622142675009998848,cd08e4b204df337b04b4b0955d3479ca3d7de11f3dc271b9078e29d6d097a997,"Baton Rouge, LA",Baton Rouge's latest news source. Follow us for original reporting and trusted news @BatonRougeVoice. DM your local news tips,3378,1829,1.8469108802624383,2015-03-15 00:00:00,2015,3,2015-07-17 20:35:00,2015,7,17,ICAST Blast: Aegis LifeShirt has flotation built in  #sports,0,1,5.666666666666668,1
41,642366933170393088,cd08e4b204df337b04b4b0955d3479ca3d7de11f3dc271b9078e29d6d097a997,"Baton Rouge, LA",Baton Rouge's latest news source. Follow us for original reporting and trusted news @BatonRougeVoice. DM your local news tips,3378,1829,1.8469108802624383,2015-03-15 00:00:00,2015,3,2015-09-11 15:59:00,2015,9,11,What do you want to hear from candidates for governor?  #politics,0,0,4.909090909090909,1
42,506430029291880448,e18b35556cd304be648a39362aa1281f5be6f614c8a99f5f396790b3c641ca92,Chicago,Missing,57,119,0.4789915966386555,2014-04-24 00:00:00,2014,4,2014-09-01 13:15:00,2014,9,1,and i'm lookin' towards the sky #love,0,0,4.428571428571429,1
43,612885716746371072,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",32347,21336,1.5160761154855642,2014-12-09 00:00:00,2014,12,2015-06-22 07:31:00,2015,6,22,@guardian Greece doesnt want to be a part of the EU anymore,0,1,4.0,1
44,649273694318145536,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",32347,21336,1.5160761154855642,2014-12-09 00:00:00,2014,12,2015-09-30 17:24:00,2015,9,30,#PlannedParenthood 's leader pushes back against #GOP critics http://t.co/h5zF90cOel,0,1,8.444444444444445,1
45,507220736600469504,7d6e1bb457a9c398fb736b173694472901d1cd6cf6df81daea588152381b67c7,New York City ,Missing,131,147,0.8911564625850341,2013-11-07 00:00:00,2013,11,2014-09-03 17:37:00,2014,9,3,@c49a1ece3a2d91bc0933201e1120b46ca0088cf5e166b7114992959dc17a4f20 nice of you),0,0,18.75,1
46,556580231612342272,PhoenixDailyNew,"City of Phoenix, Arizona","Local news, sports, business, politics, entertainment, travel and opinion for Phoenix and Arizona. DM us 24/7",18574,7903,2.350246741743641,2014-08-28 00:00:00,2014,8,2015-01-17 22:34:00,2015,1,17,No. 14 ASU women tackle Stanford on Monday  #sports,0,1,4.666666666666667,1
47,502536630067294208,75146e79e40c32b350e71225c2792acdb92fcf1ae940ee16e0327a53aabd952a,New York,A friend is someone who knows all about you and still loves you,69,137,0.5036496350364964,2014-03-12 00:00:00,2014,3,2014-08-21 19:24:00,2014,8,21,#LifeWouldBeBetterIf I slept last night,0,1,7.0,1
48,867417273178259456,TodayNYCity,"New York, NY","New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM",66980,10500,6.379047619047619,2014-08-27 00:00:00,2014,8,2017-05-24 16:29:00,2017,5,24,8 Grocery Chains With Some of the Best Prices in America https://t.co/BeLUyZ80Fy https://t.co/rPS6DnhJBt,2,0,7.0769230769230775,1
49,564422432946016256,d4f9ad1862ea7fa4f4e998403c11289532a1e1a667097f5f2f27be8c7f25ca2d,Chicago,I'm designer,465,649,0.7164869029275809,2014-05-09 00:00:00,2014,5,2015-02-08 13:56:00,2015,2,8,"Money no problem, pocket full of that now! #love #rap",0,0,4.4,1
50,631111161153368064,cd08e4b204df337b04b4b0955d3479ca3d7de11f3dc271b9078e29d6d097a997,"Baton Rouge, LA",Baton Rouge's latest news source. Follow us for original reporting and trusted news @BatonRougeVoice. DM your local news tips,3378,1829,1.8469108802624383,2015-03-15 00:00:00,2015,3,2015-08-11 14:33:00,2015,8,11,See 10 people you never heard of before Katrina  #politics,0,0,4.8,1
51,846701674274140160,DallasTopNews,"Dallas, Texas","Dallas top news and stories, powered 24/7",24696,7388,3.3427179209528965,2014-07-05 00:00:00,2014,7,2017-03-28 12:33:00,2017,3,28,Mother Outraged over TSA's Treatment of Son at D/FW Airport https://t.co/xinO8VRC5M https://t.co/UYQWtu26QI,2,1,8.0,1
52,854249591834779648,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,2748,265,10.369811320754716,2016-06-15 00:00:00,2016,6,2017-04-18 08:25:00,2017,4,18,🚨#MoldyLocks🚨 🚨#BoycottSubway🚨 🚨#BerkeleyRiots🚨 🚨#ANTIFA🚨 🚨#Cleveland🚨 🚨#EasterEggRoll🚨 🚨#ObamaFail🚨 🚨#Easter🚨 🚨#MAGA🚨 🚨#AmericaFirst🚨 https://t.co/WqqoInefP8,1,2,13.454545454545455,1
53,685114566041157632,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",35988,11010,3.2686648501362403,2014-05-05 00:00:00,2014,5,2016-01-07 15:03:00,2016,1,7,Unemployment numbers fall in latest weekly report  #news,0,0,6.0,1
54,769607688292630528,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",47413,29429,1.6110978966325733,2015-12-09 00:00:00,2015,12,2016-08-27 18:49:00,2016,8,27,I'm not a crook I'm undocumented person https://t.co/j13knv0VfD,1,0,7.0,1
55,650042112214339584,PhoenixDailyNew,"City of Phoenix, Arizona","Local news, sports, business, politics, entertainment, travel and opinion for Phoenix and Arizona. DM us 24/7",18574,7903,2.350246741743641,2014-08-28 00:00:00,2014,8,2015-10-02 20:18:00,2015,10,2,State pays $200K in same-sex marriage suit  #politics,0,1,5.625,1
56,666671919094063104,ChicagoDailyNew,"Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",23595,13665,1.7266739846322725,2014-05-14 00:00:00,2014,5,2015-11-17 17:39:00,2015,11,17,David Ross Will Likely Retire After 2016 Season With Cubs: The Chicago Cubs are still five months away from starting their 20...  #sports,0,0,4.956521739130435,1
57,544509128983330817,cascaseyp,"London, England",Do not let what you cannot do interfere with what you can do.,5328,4282,1.2442783745913124,2014-08-14 00:00:00,2014,8,2014-12-15 15:07:00,2014,12,15,She was the purest beauty but not the common kind.,0,0,4.1,1
58,620892392233676801,60f0b63e612aa72961a991ed83ad3318ccaa22f9c343ea79bb199e364cf75867,"New York, USA",http://t.co/Z2QpDqsbqr  provides wonderful apps to help workout.,486,5,97.2,2015-06-22 00:00:00,2015,6,2015-07-14 09:47:00,2015,7,14,http://t.co/oiG6saDDJ0 That is ppc exercise put is turned-on? YjlXPJ @luckyharris93 @TommyHawley @lucymai_ @Britb_29 @jenniferwragg,0,0,8.428571428571429,1
59,611455201887715328,0ba7b20ac6f6508ed2189050961f219b62ab06da5ed1aaf089f6a599844ca370,"Washington, DC",Free Talk on Political Topic,13,0,inf,2015-06-12 00:00:00,2015,6,2015-06-18 08:47:00,2015,6,18,Need a way to make money ah @aid_nmc @MilliRoyaLe http://t.co/aaQF2UmkMP,0,0,6.3,1
60,600811785642348544,SanAntoTopNews,"City of San Antonio, TX","San Antonio top news and stories, powered 24/7",25528,7904,3.229757085020243,2014-08-28 00:00:00,2014,8,2015-05-19 23:54:00,2015,5,19,Ball was an Air Force flight nurse during the Vietnam War  #local #news,0,0,4.461538461538462,1
61,749674595620270081,ItsTimeToSecede,All Over Texas,TX patriots united for real action. GET READY TO SECEDE! #2A  #Texit #TexasSecede #Texodus,5518,6052,0.9117647058823528,2015-11-25 00:00:00,2015,11,2016-07-03 18:42:00,2016,7,3,"Okay now that might way too sweet...but Texas's not only about guns and pickup trucks, right? #Texas #Whataburger https://t.co/n2yPRwgdDS",1,0,6.2631578947368425,1
62,607611372893962240,e39056f8a6ed87cda6bc22cbfff630425677170a2fdd21aa132e158eec50d19e,"New York, USA","We are a club of people who love New York City. Follow us or visit our website, then you can know everything about NYC.",21,5,4.2,2015-06-06 00:00:00,2015,6,2015-06-07 18:13:00,2015,6,7,"Texas boys living in NYC Yes, please. http://t.co/rGktChj2sf https://t.co/ZXeOQg3nXK",1,1,8.444444444444445,1
63,507405454159650816,06d7d487b33fd20c3daeab8a6999a07eab9d7a7fcc66e05a49790803e078315d,"Washington, D.C.",Missing,53,110,0.4818181818181818,2014-05-13 00:00:00,2014,5,2014-09-04 05:51:00,2014,9,4,I liked you much better when you'd just pretend #true #love,0,1,4.454545454545454,1
64,621666599943049217,TodayNYCity,"New York, NY","New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM",66980,10500,6.379047619047619,2014-08-27 00:00:00,2014,8,2015-07-16 13:04:00,2015,7,16,Wallmart is being sued for denying health benefits to a gay married couple http://t.co/vKZKCMgfpZ,0,0,6.0,1
65,800716879291711488,dc037fb4cc327210d7ec4ebc938ac38d3c8ae051213db8b97b8541c48c33372a,"London, UK ",nerd,4483,3281,1.3663517220359649,2014-06-18 00:00:00,2014,6,2016-11-21 15:05:00,2016,11,21,Convert the Horn of Plenty into a bong #SurvivalGuideToThanksgiving,0,0,6.5555555555555545,1
66,640676837568479232,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",32347,21336,1.5160761154855642,2014-12-09 00:00:00,2014,12,2015-09-07 00:03:00,2015,9,7,@WhiteHouse Here's how to behave real president!,0,0,6.0,1
67,652162425836277761,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",35988,11010,3.2686648501362403,2014-05-05 00:00:00,2014,5,2015-10-08 16:43:00,2015,10,8,LSU baseball receives commitment from 6-6 pitcher Zachary Hess  #news,0,1,5.9,1
68,607613426131542016,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",35988,11010,3.2686648501362403,2014-05-05 00:00:00,2014,5,2015-06-07 18:21:00,2015,6,7,Weekend box office: Melissa McCarthy scores first No. 1 debut with 'Spy'  #news,0,0,5.0769230769230775,1
69,636653946824593408,DallasTopNews,"Dallas, Texas","Dallas top news and stories, powered 24/7",24696,7388,3.3427179209528965,2014-07-05 00:00:00,2014,7,2015-08-26 21:38:00,2015,8,26,Lawsuit: Demolition of historic downtown Dallas buildings damaged Wilson Building  #news,0,0,7.0,1
70,732780407368876032,261a553ac8e01a3f5ab164abfff49b4e3a48d4a735727ab151cbccb391f68004,"New York, USA","New York, uniting Liberals since 1624!",1590,2946,0.539714867617108,2015-11-24 00:00:00,2015,11,2016-05-18 03:50:00,2016,5,18,A wins #OregonPrimary!  the #PoliticalRevolution continues #FeelTheBern https://t.co/bMhQWTa5Ke,1,1,10.875,1
71,860345067395055617,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,2748,265,10.369811320754716,2016-06-15 00:00:00,2016,6,2017-05-05 04:07:00,2017,5,5,🇺🇸🇺🇸 🚨🚨#Scandal🚨🚨 🚨🚨#IAmAPreexistingCondition🚨🚨 🚨🚨#ACHA🚨🚨 🚨🚨#Hardball🚨🚨 🚨🚨#BuckinghamPalace🚨🚨 🚨🚨#TheFive🚨🚨 🚨🚨#AmericaFirst🚨🚨 🚨🚨#MAGA🚨🚨 🇺🇸🇺🇸 https://t.co/ziSFKlyimH,1,2,13.909090909090908,1
72,580053334171627520,ChicagoDailyNew,"Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",23595,13665,1.7266739846322725,2014-05-14 00:00:00,2014,5,2015-03-23 17:07:00,2015,3,23,#news #Chicago Jimmy Butler Likely To Return Against Hornets,0,0,5.777777777777778,1
73,562307934713962497,ebb34fa0fd0b81c4199d3f415f34eb326ed9fa733ab78db709c908be00b9a513,New York,Missing,110,105,1.0476190476190477,2013-08-08 00:00:00,2013,8,2015-02-02 17:53:00,2015,2,2,"Just keep it real with me, I'll respect you way more.",0,0,3.9090909090909087,1
74,860746062654455810,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,2748,265,10.369811320754716,2016-06-15 00:00:00,2016,6,2017-05-06 06:40:00,2017,5,6,@AffableCreation @HawaiianCraftTV HELLO https://t.co/zSJGyL2JmG,1,1,15.0,1
75,564471621117673473,fc11ec3417df6e1b4eecc20c87a8f2f73d5bd62d1b6b108a1824737fb9cf3564,United States,Just because I am white - I am not racist. Sick of fake racism & being walked on. Conservative - Take America back. RIGHT VS WRONG - learn it!,1305,1373,0.9504734158776402,2013-09-19 00:00:00,2013,9,2015-02-08 17:11:00,2015,2,8,« Talking much about oneself can also be a means to conceal oneself. » Nietzsche,0,0,4.4,1
76,499305336986406912,17c81a0b2a56cf28fd781c377ad286eee77c13de74d8815e98e3f5daa45f239c,New York,on the top of the world,56,124,0.4516129032258064,2013-12-23 00:00:00,2013,12,2014-08-12 21:24:00,2014,8,12,I want to be someone else or I'll explode,0,1,3.6666666666666665,1
